F-Scale,,,,,,,,,,,,,,
,F0,F1,F2,F3,F4,F5,Unrated1,EF0,EF1,EF2,EF3,EF4,EF5,Unrated2
Jan-Mar-1950-2006.csv,29.57746479,33.09859155,27.11267606,6.690140845,1.408450704,0.352112676,1.76056338,,,,,,,
Apr-Jun-1950-2006.csv,39.20325939,30.42100498,19.78270711,6.020823902,1.901312811,0.226346763,2.444545043,,,,,,,
Jul-Dec-1950-2006.csv,39.55637708,34.19593346,19.22365989,4.066543438,0.554528651,0,2.402957486,,,,,,,
Jan-Mar-2007-2023.csv,,,,,,,,45.26315789,28.42105263,15.78947368,0,1.052631579,0,9.473684211
Apr-Jun-2007-2023.csv,,,,,,,,41.21900826,35.64049587,8.47107438,2.789256198,0.723140496,0.20661157,10.95041322
Jul-Dec-2007-2023.csv,,,,,,,,38.50931677,44.09937888,5.590062112,0.621118012,1.863354037,0,9.316770186
